# cc_reference.draft.csv — BROUILLON généré le 2026-07-11 par `python -m trio_lab.ccref`.
# NE PAS FIGER SANS RELECTURE HUMAINE (CLAUDE.md règle 4) : durées/%slow extraits
# par heuristiques depuis la prose du wiki ; toute ligne avec `note_relecture`
# non vide demande une vérification. Après relecture : renommer en
# cc_reference.csv (fichier immuable, re-versionné à chaque rework).
#
# Source : League of Legends Wiki — « Types of Crowd Control/Sources » et pages de sorts,
# via l'API MediaWiki (https://wiki.leagueoflegends.com/en-us/api.php).
# Contenu dérivé sous licence CC BY-SA 4.0 ; attribution : League of Legends Wiki
# (https://wiki.leagueoflegends.com), communauté des contributeurs.
# League of Legends et Riot Games sont des marques de Riot Games, Inc.
#
# Colonnes : zone ∈ {mono, multi} (heuristique), fiabilite ∈ {point_click, skillshot}
# (le ciblage, indépendant de la condition), disponibilite ∈ {base, ultimate},
# repositionnement ∈ {0, 1} (airborne déplaçant), conditionnel ∈ {0, 1} (CC sous
# condition : collision terrain, charge complète — E de Poppy, Q de Bard).
# Les coefficients (poids par type, coef_zone, coef_conditionnel…) vivent dans la
# config, pas ici.
champion,sort,type_cc,duree_s,pct_slow,zone,fiabilite,disponibilite,repositionnement,conditionnel,note_relecture
Aatrox,Q,airborne,0.25,,multi,skillshot,base,0,0,
Aatrox,W,airborne,0.5,,mono,skillshot,base,1,0,défaut appliqué : knockback/pull 0.5 s — à vérifier
Aatrox,W,slow,1.5,30.0,mono,skillshot,base,0,0,"%slow depuis leveling « Slow », moyenne retenue"
Ahri,E,charm,1.5,,mono,skillshot,base,0,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Ahri,E,slow,1.5,65.0,mono,skillshot,base,0,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Akali,Q,slow,0.5,50.0,multi,skillshot,base,0,0,
Alistar,E,stun,1.0,,mono,point_click,base,0,0,relecture : relecture zone/fiabilité : zone mono
Alistar,Q,airborne,1.0,,multi,point_click,base,0,0,
Alistar,Q,stun,1.0,,multi,point_click,base,0,0,
Alistar,W,airborne,0.5,,mono,point_click,base,1,0,
Alistar,W,stun,0.75,,mono,point_click,base,0,0,
Ambessa,E,slow,1.0,99.0,multi,point_click,base,0,0,
Ambessa,R,stun,0.4,,mono,skillshot,ultimate,0,0,
Ambessa,R,suppression,0.75,,mono,skillshot,ultimate,0,0,
Amumu,Q,stun,1.0,,mono,skillshot,base,0,0,
Amumu,R,stun,1.5,,multi,point_click,ultimate,0,0,
Anivia,Q,slow,3.0,30.0,multi,skillshot,base,0,0,relecture : slow 3 s (fandom)
Anivia,Q,stun,1.3,,multi,skillshot,base,0,0,"durée depuis leveling « Stun Duration », moyenne retenue"
Anivia,R,slow,1.0,50.0,multi,skillshot,ultimate,0,0,
Anivia,W,airborne,0.25,,multi,skillshot,base,1,0,relecture : relecture zone/fiabilité : zone multi
Annie,P,stun,1.5,,multi,skillshot,base,0,0,"durée variable ({{pp|1.25;1.5;1.75|1;6;11}}), moyenne retenue"
